the_geom,MainStreet,CrossStree,Install_Da,LONG,LAT,X,Y
POINT (-73.99151726122541 40.617820047925136),18 Avenue,67 Street,06/15/2020 12:00:00 AM,-73.9915172612,40.6178200479,986605.000199,164365.00006
POINT (-73.99193514668505 40.61739189032439),18 Avenue,68 Street,06/15/2020 12:00:00 AM,-73.9919351467,40.6173918903,986489.000103,164209.000044
POINT (-73.99308069641636 40.61626111083655),18 Avenue,70 Street,06/15/2020 12:00:00 AM,-73.9930806964,40.6162611108,986171.000083,163797.000212
POINT (-73.99364985509904 40.61569297087543),18 Avenue,71 Street,06/15/2020 12:00:00 AM,-73.9936498551,40.6156929709,986013.000071,163589.99997
POINT (-73.9942226054775 40.61513031872013),18 Avenue,72 Street,06/15/2020 12:00:00 AM,-73.9942226055,40.6151303187,985854.000061,163385.000052
POINT (-73.99479894845767 40.61456217426589),18 Avenue,73 Street,06/15/2020 12:00:00 AM,-73.9947989485,40.6145621743,985694.000053,163178.000137
POINT (-73.99773814543333 40.61165004299808),18 Avenue,78 Street,06/15/2020 12:00:00 AM,-73.9977381454,40.611650043,984878.000044,162116.999963
POINT (-73.99831442837771 40.61108462550523),18 Avenue,79 Street,06/15/2020 12:00:00 AM,-73.9983144284,40.6110846255,984718.000036,161911.000047
POINT (-73.99888349838454 40.61051646023206),18 Avenue,80 Street,06/15/2020 12:00:00 AM,-73.9988834984,40.6105164602,984560.000024,161704.000133
POINT (-73.99945616026248 40.60995103691514),18 Avenue,81 Street,06/15/2020 12:00:00 AM,-73.9994561603,40.6099510369,984401.000014,161498.000217
POINT (-74.00002160934073 40.60938560981388),18 Avenue,82 Street,06/15/2020 12:00:00 AM,-74.0000216093,40.6093856098,984244,161291.999972
POINT (-74.00094359667281 40.60863902231774),18 Avenue,84 Street,06/15/2020 12:00:00 AM,-74.0009435967,40.6086390223,983988.000184,161020.000188
POINT (-73.99250792640218 40.61682650202394),18 Avenue,Bay Ridge Avenue,06/15/2020 12:00:00 AM,-73.9925079264,40.616826502,986330.000093,164003.000128
POINT (-73.99598402320693 40.61338744979114),18 Avenue,Bay Ridge Pkwy,06/15/2020 12:00:00 AM,-73.9959840232,40.6133874498,985365.000055,162750.000009
POINT (-74.00493381378855 40.60507343084986),18 Avenue,Benson Avenue,06/15/2020 12:00:00 AM,-74.0049338138,40.6050734308,982880.000103,159721.000162
POINT (-74.00745807067239 40.602646894253745),18 Avenue,Cropsey Avenue,06/15/2020 12:00:00 AM,-74.0074580707,40.6026468943,982179.000193,158836.999961
POINT (-73.97604899598997 40.63127557429762),18 Avenue,East 2 St_Seton Pl,06/15/2020 12:00:00 AM,-73.976048996,40.6312755743,990898.000143,169268.000097
POINT (-73.96900049271673 40.634606062538886),18 Avenue,East 9 Street,06/15/2020 12:00:00 AM,-73.9690004927,40.6346060625,992854.000168,170481.999965
POINT (-73.97716602615887 40.630746057493866),18 Avenue,McDonald Avenue,06/15/2020 12:00:00 AM,-73.9771660262,40.6307460575,990588.000107,169075.000154
POINT (-74.00171790597688 40.6080022203601),18 Avenue,New Utrecht Avenue,06/15/2020 12:00:00 AM,-74.001717906,40.6080022204,983773.000286,160787.999996
POINT (-73.98520115867132 40.67457330692767),4 Avenue,2 Street,06/19/2020 12:00:00 AM,-73.9852011587,40.6745733069,988354.99998,185042.000045
POINT (-73.98921799274999 40.669753927762734),4 Avenue,10 Street,06/19/2020 12:00:00 AM,-73.9892179927,40.6697539278,987241.00024,183286.000276
POINT (-73.98972276070735 40.66914737772067),4 Avenue,11 Street,06/19/2020 12:00:00 AM,-73.9897227607,40.6691473777,987101.000192,183065.000062
POINT (-73.99022391353338 40.66854906032884),4 Avenue,12 Street,06/19/2020 12:00:00 AM,-73.9902239135,40.6685490603,986962.000141,182847.000169
POINT (-73.99173452940184 40.66673762578555),4 Avenue,15 Street,06/19/2020 12:00:00 AM,-73.9917345294,40.6667376258,986542.999995,182187.000177
POINT (-73.99627664871312 40.662140358961594),4 Avenue,22 Street,06/19/2020 12:00:00 AM,-73.9962766487,40.662140359,985283.000219,180512.000246
